author_name,title_counts
"Shakespeare, William, 1564-1616.?",18
"Ainsworth, Henry, 1571-1622??",17
"Bacon, Francis, 1561-1626.?",17
"Dent, Arthur, d. 1607.?",17
"Dod, John, 1549?-1645.?",17
England and Wales. Privy Council.?,17
"Norden, John, 1548-1625??",17
"Taylor, Thomas, 1576-1632.?",17
"Baynes, Paul, d. 1617.?",16
"Cowper, William, 1568-1619.?",16
"Donne, John, 1572-1631.?",16
"Greene, Robert, 1558?-1592.?",16
"Whately, William, 1583-1639.?",16
"Dekker, Thomas, ca. 1572-1632.?",15
"Dyke, Daniel, d. 1614.?",15
"Harris, Robert, 1581-1658.?",15
"Rowlands, Samuel, 1570?-1630??",15
"Bernard, Richard, 1568-1641.?",14
"Brathwaite, Richard, 1588?-1673.?",14
"Elton, Edward, d. 1624.?",13
"Brinsley, John, fl. 1581-1624.?",12
"Cooper, Thomas, fl. 1626.?",12
"Denison, John, d. 1629.?",12
"Neve, Jeffery, 1579-1654.?",12
"Reynolds, John, fl. 1621-1650.?",12
"Woodhouse, John.?",12
"Beaumont, Francis, 1584-1616.?",11
"Browne, Daniel, fl. 1614-1631.?",11
"Cooke, Alexander, 1564-1632.?",11
"Culverwell, Ezekiel, 1553 or 4-1631.?",11
"Drummond, William, 1585-1649.?",11
"Granger, Thomas, b. 1578.?",11
"Heywood, Thomas, d. 1641.?",11
"Johnson, John, fl. 1602-1657.?",11
"Overbury, Thomas, Sir, 1581-1613.?",11
"Ovid, 43 B.C.-17 or 18 A.D.?",11
"Rich, Barnabe, 1540?-1617.?",11
"Andrewes, John, fl. 1615.?",10
"Calderwood, David, 1575-1650.?",10
"Dade, William.?",10
"Drayton, Michael, 1563-1631.?",10
"Gainsford, Thomas, d. 1624??",10
"Gilden, G., fl. 1615-1632.?",10
"James I, King of England, 1566-1625.?",10
"Scot, Tho. fl. 1605.?",10
"White, John, 1570-1615.?",10
Anonymous?,"1,616"
England and Wales. Sovereign (1625-1649 : Charles I)?,274
Church of England.?,137
"Sternhold, Thomas, d. 1549.?",113
"Preston, John, 1587-1628.?",82
M. P. d. 1656??,79
"Speed, John, 1552?-1629.?",44
"Sibbes, Richard, 1577-1635.?",41
"Taylor, John, 1580-1653.?",40
"Hall, Joseph, 1574-1656.?",39
"Heywood, Thomas, d. 1641.?",37
"Perkins, William, 1558-1602.?",35
"Prynne, William, 1600-1669.?",34
"Burton, Henry, 1578-1648.?",31
"Weemes, John, 1579?-1636.?",31
"Bernard, Richard, 1568-1641.?",30
"Harris, Robert, 1581-1658.?",30
"Markham, Gervase, 1568?-1637.?",28
"Shakespeare, William, 1564-1616.?",27
"Crimsal, Richard.?",26
